Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD
1,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,G.K.VALASA,,873,873,48015
2,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,2,KORAPAM,,1125,1125,61875
3,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,3,M.K.VALASA,,647,647,35585
4,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,4,NIMMATHORLAVADA,,1187,1187,65285
5,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,5,VEDULLAVALASA,,629,629,34595
6,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,6,THURAKAPETA,,860,860,47300
7,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,7,DANDEMVALASA,,236,236,12980
8,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,8,CHINTALAPETA,,903,903,49665
9,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,9,BOBBILIPETA,,1051,1051,57805
10,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,20,SRINIVASACHARYULUPETA,,1545,1545,84975
11,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,21,AKKULAPETA,,752,752,41360
12,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,22,MALLUSASTRULUPETA,,,0,0
13,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,27,SRIRAMVALASA(UI),,,0,0
14,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,37,HANUMANTHAPURAM,,542,542,29810
15,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,38,KATYACHARYULAPETA,,659,659,36245
16,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,39,KORLAKOTA,,5180,5180,284900
17,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,40,KOTHAVALASA,,1473,1473,81015
18,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,41,THOGARAGAM,,1598,1598,87890
19,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,43,KALIVARAM,,2624,2624,144320
20,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,45,KANUGULAVALASA,2398,,2398,131890
21,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,46,VANAJANGI,2399,,2399,131945
22,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,47,VANAJANGIPETA,639,,639,35145
23,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,48,DUSI,,2561,2561,140855
24,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,,AMUDALAVALASA (M),,40148,40148,2208140
25,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,18,APPALAPATNAYAKUNIPETA,,836,836,45980
26,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,19,GOPIDEVIPETA,,99,99,5445
27,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,20,SOMIDAVALASA,,38,38,2090
28,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,21,ISSADIVALASA (UI),,,0,0
29,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,22,KORIKANAKURMIRAJAPURAM,,651,651,35805
